INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17310.35,17317.65,17065.45,17179.4,17179.4,93041,479784.54,2458500,-3600,17-NOV-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17392.8,17410,17164,17275.45,17275.45,3969,20581.66,110010,18120,17-NOV-2015,
FUTIDX,BANKNIFTY,28-Jan-2016,0,XX,17482.15,17499,17270,17375.3,17375.3,190,990.68,15540,660,17-NOV-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17470,17522.5,17440,17517.5,17517.5,424,2223.46,9120,-1620,17-NOV-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,17420,17475,17400,17472.5,17472.5,144,753.82,4020,2490,17-NOV-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,17692.5,0,0,0,0,17-NOV-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,17920,0,0,30,0,17-NOV-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18252.5,0,0,30,0,17-NOV-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18590,0,0,30,0,17-NOV-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,6219,6219,6219,6219,6150,1,4.66,150,75,17-NOV-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6185,0,0,0,0,17-NOV-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6220,0,0,0,0,17-NOV-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6300,0,0,0,0,17-NOV-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6417,0,0,0,0,17-NOV-2015,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6536,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTY,26-Nov-2015,0,XX,7858.9,7880.65,7801.1,7852.6,7852.6,138223,813008.69,16996425,-156000,17-NOV-2015,
FUTIDX,NIFTY,31-Dec-2015,0,XX,7904,7920,7845.3,7894.95,7894.95,6953,41113.2,4185825,26775,17-NOV-2015,
FUTIDX,NIFTY,28-Jan-2016,0,XX,7927.65,7960,7890,7934.6,7934.6,898,5339.49,278175,900,17-NOV-2015,
FUTIDX,NIFTYINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2717.5,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,2736.95,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYINFRA,28-Jan-2016,0,XX,0,0,0,2934.6,2752.45,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYIT,26-Nov-2015,0,XX,11045,11080,11007.85,11052.15,11052.15,112,556.5,16155,450,17-NOV-2015,
FUTIDX,NIFTYIT,31-Dec-2015,0,XX,0,0,0,12196.45,11133.6,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYIT,28-Jan-2016,0,XX,0,0,0,11762.3,11196.7,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYMID50,26-Nov-2015,0,XX,0,0,0,3417.5,3285.9,0,0,37500,0,17-NOV-2015,
FUTIDX,NIFTYMID50,31-Dec-2015,0,XX,0,0,0,3224.45,3309.4,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYMID50,28-Jan-2016,0,XX,0,0,0,3389.2,3328.15,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYPSE,26-Nov-2015,0,XX,0,0,0,3158.15,3009.2,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3030.7,0,0,0,0,17-NOV-2015,
FUTIDX,NIFTYPSE,28-Jan-2016,0,XX,0,0,0,3114.1,3047.85,0,0,0,0,17-NOV-2015,
FUTIDX,S&P500,20-Nov-2015,0,XX,2053,2059.75,2050,2058.25,2058.25,333,1710.01,131250,1750,17-NOV-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,2043.5,2051,2043.5,2051,2066.25,83,424.99,23500,13250,17-NOV-2015,
FUTIDX,S&P500,15-Jan-2016,0,XX,0,0,0,2060,2078,0,0,0,0,17-NOV-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2104.5,0,0,0,0,17-NOV-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2143.5,0,0,0,0,17-NOV-2015,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2183.25,0,0,0,0,17-NOV-2015,
FUTIVX,INDIAVIX,17-Nov-2015,0,XX,1702,1702,1702,1702,1697.25,2,15.31,900,450,17-NOV-2015,
FUTIVX,INDIAVIX,24-Nov-2015,0,XX,0,0,0,1946.75,1703.25,0,0,0,0,17-NOV-2015,
FUTIVX,INDIAVIX,01-Dec-2015,0,XX,0,0,0,1722.75,1723.75,0,0,0,0,17-NOV-2015,
FUTSTK,ABIRLANUVO,26-Nov-2015,0,XX,1977.25,2004.2,1900,1963.95,1963.95,1721,8371.82,774750,34750,17-NOV-2015,
FUTSTK,ABIRLANUVO,31-Dec-2015,0,XX,2007.5,2012,1915,1965.25,1965.25,67,325.58,16750,4750,17-NOV-2015,
FUTSTK,ABIRLANUVO,28-Jan-2016,0,XX,0,0,0,2019.05,1990.9,0,0,250,0,17-NOV-2015,
FUTSTK,ACC,26-Nov-2015,0,XX,1330,1338.75,1314.05,1327.05,1327.05,2049,10195.58,1317000,46125,17-NOV-2015,
FUTSTK,ACC,31-Dec-2015,0,XX,1340,1344.4,1321,1334.9,1334.9,113,563.8,75000,27375,17-NOV-2015,
FUTSTK,ACC,28-Jan-2016,0,XX,0,0,0,1333,1344.95,0,0,2625,0,17-NOV-2015,
FUTSTK,ADANIENT,26-Nov-2015,0,XX,78.15,82.25,77.65,80.5,80.5,1644,7961.17,12642000,-798000,17-NOV-2015,
FUTSTK,ADANIENT,31-Dec-2015,0,XX,79.15,82.55,79.15,80.55,80.55,121,591.46,552000,72000,17-NOV-2015,
FUTSTK,ADANIENT,28-Jan-2016,0,XX,0,0,0,92.85,81.35,0,0,0,0,17-NOV-2015,
FUTSTK,ADANIPORTS,26-Nov-2015,0,XX,275.05,276.8,270.1,271.2,271.2,3566,15594.21,29481600,60800,17-NOV-2015,
FUTSTK,ADANIPORTS,31-Dec-2015,0,XX,275.8,278.4,272.15,272.75,272.75,187,821.79,542400,100800,17-NOV-2015,
FUTSTK,ADANIPORTS,28-Jan-2016,0,XX,0,0,0,272.35,274.75,0,0,16000,0,17-NOV-2015,
FUTSTK,ADANIPOWER,26-Nov-2015,0,XX,28.9,29.45,28.3,28.75,28.75,625,3608.78,66640000,520000,17-NOV-2015,
FUTSTK,ADANIPOWER,31-Dec-2015,0,XX,29.25,29.6,28.6,28.95,28.95,74,429.56,3380000,880000,17-NOV-2015,
FUTSTK,ADANIPOWER,28-Jan-2016,0,XX,0,0,0,28.75,29.05,0,0,40000,0,17-NOV-2015,
FUTSTK,AJANTPHARM,26-Nov-2015,0,XX,1361.8,1376,1346,1356.25,1356.25,1344,7325.83,696800,28000,17-NOV-2015,
FUTSTK,AJANTPHARM,31-Dec-2015,0,XX,1368,1383.75,1350.6,1365.05,1365.05,46,251.11,35600,6800,17-NOV-2015,
FUTSTK,AJANTPHARM,28-Jan-2016,0,XX,0,0,0,1597,1369.95,0,0,0,0,17-NOV-2015,
FUTSTK,ALBK,26-Nov-2015,0,XX,76.9,77.2,75.25,76.15,76.15,1018,4655,10476000,372000,17-NOV-2015,
FUTSTK,ALBK,31-Dec-2015,0,XX,77.4,77.55,75.75,76.35,76.55,48,220.15,486000,156000,17-NOV-2015,
FUTSTK,ALBK,28-Jan-2016,0,XX,77.15,77.25,77.15,77.25,77,4,18.52,30000,12000,17-NOV-2015,
FUTSTK,AMARAJABAT,26-Nov-2015,0,XX,897,911,893,906.35,906.35,1218,6606.61,982200,-39000,17-NOV-2015,
FUTSTK,AMARAJABAT,31-Dec-2015,0,XX,909.9,913.6,900,913.6,910.15,9,48.89,9000,1200,17-NOV-2015,
FUTSTK,AMARAJABAT,28-Jan-2016,0,XX,915,915,915,915,915.35,1,5.49,600,600,17-NOV-2015,
FUTSTK,AMBUJACEM,26-Nov-2015,0,XX,196.15,199.85,195.25,198.95,198.95,2180,9064.8,9065700,58800,17-NOV-2015,
FUTSTK,AMBUJACEM,31-Dec-2015,0,XX,196.9,200.5,196.9,199.85,199.85,43,179.7,168000,18900,17-NOV-2015,
FUTSTK,AMBUJACEM,28-Jan-2016,0,XX,0,0,0,200,201.95,0,0,2100,0,17-NOV-2015,
FUTSTK,ANDHRABANK,26-Nov-2015,0,XX,70,70.1,68.45,68.9,68.9,715,3946.86,15288000,552000,17-NOV-2015,
FUTSTK,ANDHRABANK,31-Dec-2015,0,XX,69.75,70.05,68.9,69.2,69.2,43,238.22,832000,176000,17-NOV-2015,
FUTSTK,ANDHRABANK,28-Jan-2016,0,XX,0,0,0,67.4,69.7,0,0,0,0,17-NOV-2015,
FUTSTK,APOLLOHOSP,26-Nov-2015,0,XX,1288.85,1329.8,1288.5,1320.75,1320.75,1233,6469.36,587200,-25200,17-NOV-2015,
FUTSTK,APOLLOHOSP,31-Dec-2015,0,XX,1307,1334.7,1307,1332.65,1332.65,15,79.23,10400,-1600,17-NOV-2015,
FUTSTK,APOLLOHOSP,28-Jan-2016,0,XX,0,0,0,1279,1340.7,0,0,400,0,17-NOV-2015,
FUTSTK,APOLLOTYRE,26-Nov-2015,0,XX,159.95,163.9,159.9,162.55,162.55,4898,23849.2,11577000,-174000,17-NOV-2015,
FUTSTK,APOLLOTYRE,31-Dec-2015,0,XX,162.3,164.8,161.5,163.55,163.55,282,1384.6,1098000,288000,17-NOV-2015,
FUTSTK,APOLLOTYRE,28-Jan-2016,0,XX,0,0,0,185.65,164.4,0,0,0,0,17-NOV-2015,
FUTSTK,ARVIND,26-Nov-2015,0,XX,287.45,288.4,284.6,285.5,285.5,1534,7465.33,3785900,30600,17-NOV-2015,
FUTSTK,ARVIND,31-Dec-2015,0,XX,287.4,289,285.5,286,286,38,185.55,289000,-5100,17-NOV-2015,
FUTSTK,ARVIND,28-Jan-2016,0,XX,0,0,0,285.5,289.15,0,0,15300,0,17-NOV-2015,
FUTSTK,ASHOKLEY,26-Nov-2015,0,XX,91,92.4,90.75,92.1,92.1,3879,24938.66,60193000,-336000,17-NOV-2015,
FUTSTK,ASHOKLEY,31-Dec-2015,0,XX,91.4,92.55,91,92.35,92.35,221,1425.28,5887000,182000,17-NOV-2015,
FUTSTK,ASHOKLEY,28-Jan-2016,0,XX,92.5,92.85,92.25,92.25,93.3,4,25.89,175000,7000,17-NOV-2015,
FUTSTK,ASIANPAINT,26-Nov-2015,0,XX,807.95,814.8,800.6,808.9,808.9,2316,11227.89,4498200,31200,17-NOV-2015,
FUTSTK,ASIANPAINT,31-Dec-2015,0,XX,813.2,818.75,806,813.1,813.1,61,297.1,110400,7200,17-NOV-2015,
FUTSTK,ASIANPAINT,28-Jan-2016,0,XX,0,0,0,844.75,819.5,0,0,0,0,17-NOV-2015,
FUTSTK,AUROPHARMA,26-Nov-2015,0,XX,824.8,836.45,816.8,834.1,834.1,5653,32768.47,15181600,272300,17-NOV-2015,
FUTSTK,AUROPHARMA,31-Dec-2015,0,XX,826.65,840,823,838.35,838.35,406,2359.76,643300,87500,17-NOV-2015,
FUTSTK,AUROPHARMA,28-Jan-2016,0,XX,0,0,0,865,843.15,0,0,700,0,17-NOV-2015,
FUTSTK,AXISBANK,26-Nov-2015,0,XX,486.5,486.8,474.1,476.9,476.9,12649,60593.63,38033000,-279000,17-NOV-2015,
FUTSTK,AXISBANK,31-Dec-2015,0,XX,488,488.95,477,479.7,479.7,960,4622.29,1273000,454000,17-NOV-2015,
FUTSTK,AXISBANK,28-Jan-2016,0,XX,491.55,491.55,480,482.25,482.25,20,96.87,41000,3000,17-NOV-2015,
