INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,16698,17140,16625,17068.5,17068.5,116988,593999.03,2418780,18810,09-NOV-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,16853.95,17240,16711.4,17166.7,17166.7,3339,17052.75,72330,4020,09-NOV-2015,
FUTIDX,BANKNIFTY,28-Jan-2016,0,XX,16900.7,17325.05,16847.95,17278.75,17278.75,358,1839.43,6720,1380,09-NOV-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17887.5,17890,17820,17825,17825,147,787.17,26670,2460,09-NOV-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,17790,18052.5,0,0,870,0,09-NOV-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,18155,0,0,0,0,09-NOV-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,18387.5,0,0,30,0,09-NOV-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18727.5,0,0,30,0,09-NOV-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,19072.5,0,0,30,0,09-NOV-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6300,6368,0,0,75,0,09-NOV-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6404,0,0,0,0,09-NOV-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6441,0,0,0,0,09-NOV-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6523,0,0,0,0,09-NOV-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6643,0,0,0,0,09-NOV-2015,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6766,0,0,0,0,09-NOV-2015,
FUTIDX,NIFTY,26-Nov-2015,0,XX,7820,7954.9,7790,7936.05,7936.05,226372,1336309.59,17932575,-739725,09-NOV-2015,
