INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17150,17235,16787,16810.5,16810.5,111482,568283.56,2584170,125670,18-NOV-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17236.05,17325,16889,16908.3,16908.3,7115,36405.17,164310,54300,18-NOV-2015,
FUTIDX,BANKNIFTY,28-Jan-2016,0,XX,17355,17413.15,16985.05,17002.95,17002.95,544,2788.54,10410,-5130,18-NOV-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17475,17485,17437.5,17445,17445,318,1665.02,13260,4140,18-NOV-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,17420,17435,17395,17420,17420,140,731.55,6300,2280,18-NOV-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,17697.5,0,0,0,0,18-NOV-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,17922.5,0,0,30,0,18-NOV-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18255,0,0,30,0,18-NOV-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18592.5,0,0,30,0,18-NOV-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6219,6272,0,0,150,0,18-NOV-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6306,0,0,0,0,18-NOV-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6343,0,0,0,0,18-NOV-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6424,0,0,0,0,18-NOV-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6543,0,0,0,0,18-NOV-2015,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6664,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTY,26-Nov-2015,0,XX,7838.35,7854.95,7725,7731.95,7731.95,172971,1009357.42,17648925,652500,18-NOV-2015,
FUTIDX,NIFTY,31-Dec-2015,0,XX,7880,7896.55,7766.5,7773.9,7773.9,17488,102612.92,4493250,307425,18-NOV-2015,
FUTIDX,NIFTY,28-Jan-2016,0,XX,7923.5,7935.95,7807.6,7815.95,7815.95,1253,7381.59,298950,20775,18-NOV-2015,
FUTIDX,NIFTYINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2705.9,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,2725.2,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYINFRA,28-Jan-2016,0,XX,0,0,0,2934.6,2740.65,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYIT,26-Nov-2015,0,XX,10990,11005,10820.8,10838.45,10838.45,213,1045.77,18900,2745,18-NOV-2015,
FUTIDX,NIFTYIT,31-Dec-2015,0,XX,11000.1,11065,10900,10900,10931.1,13,64.1,540,540,18-NOV-2015,
FUTIDX,NIFTYIT,28-Jan-2016,0,XX,0,0,0,11762.3,10993,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYMID50,26-Nov-2015,0,XX,0,0,0,3417.5,3240,0,0,37500,0,18-NOV-2015,
FUTIDX,NIFTYMID50,31-Dec-2015,0,XX,0,0,0,3224.45,3263.1,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYMID50,28-Jan-2016,0,XX,0,0,0,3389.2,3281.55,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYPSE,26-Nov-2015,0,XX,0,0,0,3158.15,2998.9,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3020.3,0,0,0,0,18-NOV-2015,
FUTIDX,NIFTYPSE,28-Jan-2016,0,XX,0,0,0,3114.1,3037.4,0,0,0,0,18-NOV-2015,
FUTIDX,S&P500,20-Nov-2015,0,XX,2050,2051.5,2047.75,2049.25,2049.25,207,1060.34,112500,-18750,18-NOV-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,2045.25,2046,2043.25,2044.5,2044.5,29,148.23,28250,4750,18-NOV-2015,
FUTIDX,S&P500,15-Jan-2016,0,XX,0,0,0,2060,2074.75,0,0,0,0,18-NOV-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2101.25,0,0,0,0,18-NOV-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2140,0,0,0,0,18-NOV-2015,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2179.75,0,0,0,0,18-NOV-2015,
FUTIVX,INDIAVIX,24-Nov-2015,0,XX,0,0,0,1946.75,1755.25,0,0,0,0,18-NOV-2015,
FUTIVX,INDIAVIX,01-Dec-2015,0,XX,0,0,0,1722.75,1760.25,0,0,0,0,18-NOV-2015,
FUTIVX,INDIAVIX,08-Dec-2015,0,XX,0,0,0,1736.5,1775.25,0,0,0,0,18-NOV-2015,
FUTSTK,ABIRLANUVO,26-Nov-2015,0,XX,1970,2011.65,1940,1984.2,1984.2,1464,7263.03,676000,-98750,18-NOV-2015,
FUTSTK,ABIRLANUVO,31-Dec-2015,0,XX,1980.15,2018,1942,1996.95,1996.95,66,327.05,19500,2750,18-NOV-2015,
FUTSTK,ABIRLANUVO,28-Jan-2016,0,XX,0,0,0,2019.05,2012.95,0,0,250,0,18-NOV-2015,
FUTSTK,ACC,26-Nov-2015,0,XX,1327,1342.4,1321.4,1328.75,1328.75,2205,11013.29,1294500,-22500,18-NOV-2015,
FUTSTK,ACC,31-Dec-2015,0,XX,1332.15,1347.7,1328,1334.1,1334.1,228,1144.43,118125,43125,18-NOV-2015,
FUTSTK,ACC,28-Jan-2016,0,XX,0,0,0,1333,1353.55,0,0,2625,0,18-NOV-2015,
FUTSTK,ADANIENT,26-Nov-2015,0,XX,80.45,80.5,77.65,78.15,78.15,782,3695.42,12648000,6000,18-NOV-2015,
FUTSTK,ADANIENT,31-Dec-2015,0,XX,80.05,80.45,78.15,78.55,78.55,70,332.13,612000,60000,18-NOV-2015,
FUTSTK,ADANIENT,28-Jan-2016,0,XX,0,0,0,92.85,79.1,0,0,0,0,18-NOV-2015,
FUTSTK,ADANIPORTS,26-Nov-2015,0,XX,270.2,272.65,266.45,268.35,268.35,3202,13791.7,30048000,566400,18-NOV-2015,
FUTSTK,ADANIPORTS,31-Dec-2015,0,XX,272.5,274.1,268.5,270,270,309,1340.05,737600,195200,18-NOV-2015,
FUTSTK,ADANIPORTS,28-Jan-2016,0,XX,0,0,0,272.35,271.15,0,0,16000,0,18-NOV-2015,
FUTSTK,ADANIPOWER,26-Nov-2015,0,XX,28.8,29.2,27.65,27.9,27.9,717,4077.98,66220000,-420000,18-NOV-2015,
FUTSTK,ADANIPOWER,31-Dec-2015,0,XX,28.85,29.3,27.9,28,28,74,423.8,4160000,780000,18-NOV-2015,
FUTSTK,ADANIPOWER,28-Jan-2016,0,XX,29.2,29.2,29.2,29.2,28.25,1,5.84,60000,20000,18-NOV-2015,
FUTSTK,AJANTPHARM,26-Nov-2015,0,XX,1363.15,1377.9,1320,1349.15,1349.15,925,5025.84,691200,-5600,18-NOV-2015,
FUTSTK,AJANTPHARM,31-Dec-2015,0,XX,1374.45,1383.7,1340,1355.85,1355.85,70,381.5,41600,6000,18-NOV-2015,
FUTSTK,AJANTPHARM,28-Jan-2016,0,XX,0,0,0,1597,1365.65,0,0,0,0,18-NOV-2015,
FUTSTK,ALBK,26-Nov-2015,0,XX,75.9,76.85,73.8,74.1,74.1,944,4264.92,10848000,372000,18-NOV-2015,
FUTSTK,ALBK,31-Dec-2015,0,XX,76.45,77.1,74.2,74.5,74.5,123,558.99,948000,462000,18-NOV-2015,
FUTSTK,ALBK,28-Jan-2016,0,XX,75,77.3,74.5,74.5,74.5,3,13.6,48000,18000,18-NOV-2015,
FUTSTK,AMARAJABAT,26-Nov-2015,0,XX,906,907.65,890.15,897.35,897.35,399,2150.64,957000,-25200,18-NOV-2015,
