INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,16935,17089,16831.1,16864.45,16864.45,94743,481659.18,2469930,51150,10-NOV-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17061.45,17185,16930.3,16965.6,16965.6,2928,14966.61,77400,5070,10-NOV-2015,
FUTIDX,BANKNIFTY,28-Jan-2016,0,XX,17113.8,17265,17030,17067.2,17067.2,280,1438,6690,-30,10-NOV-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17730,17747.5,17660,17672.5,17672.5,305,1620.18,22620,-4050,10-NOV-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,0,0,0,17790,17867.5,0,0,870,0,10-NOV-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,17970,0,0,0,0,10-NOV-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,18197.5,0,0,30,0,10-NOV-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18535,0,0,30,0,10-NOV-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,18877.5,0,0,30,0,10-NOV-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6300,6308,0,0,75,0,10-NOV-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6344,0,0,0,0,10-NOV-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6380,0,0,0,0,10-NOV-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6461,0,0,0,0,10-NOV-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6581,0,0,0,0,10-NOV-2015,
FUTIDX,FTSE100,16-Sep-2016,0,XX,0,0,0,6637,6702,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTY,26-Nov-2015,0,XX,7895.35,7908,7791.15,7802.5,7802.5,158968,935549.87,17737575,-195000,10-NOV-2015,
FUTIDX,NIFTY,31-Dec-2015,0,XX,7939.85,7942.45,7838,7848.15,7848.15,8528,50454.42,4023150,184200,10-NOV-2015,
FUTIDX,NIFTY,28-Jan-2016,0,XX,7982,7982,7880,7891.05,7891.05,1118,6647.24,262350,22500,10-NOV-2015,
FUTIDX,NIFTYINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2698.4,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,2717.75,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYINFRA,28-Jan-2016,0,XX,0,0,0,2934.6,2733.1,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYIT,26-Nov-2015,0,XX,11360,11379.15,11224.8,11248.6,11248.6,144,732.75,13320,990,10-NOV-2015,
FUTIDX,NIFTYIT,31-Dec-2015,0,XX,0,0,0,12196.45,11330,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYIT,28-Jan-2016,0,XX,0,0,0,11762.3,11394.05,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYMID50,26-Nov-2015,0,XX,0,0,0,3417.5,3215.2,0,0,37500,0,10-NOV-2015,
FUTIDX,NIFTYMID50,31-Dec-2015,0,XX,0,0,0,3224.45,3238.25,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYMID50,28-Jan-2016,0,XX,0,0,0,3389.2,3256.55,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYPSE,26-Nov-2015,0,XX,0,0,0,3158.15,2989.6,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3011.05,0,0,0,0,10-NOV-2015,
FUTIDX,NIFTYPSE,28-Jan-2016,0,XX,0,0,0,3114.1,3028.05,0,0,0,0,10-NOV-2015,
FUTIDX,S&P500,20-Nov-2015,0,XX,2078.5,2081,2070.5,2072.5,2072.5,405,2104.36,323000,-25750,10-NOV-2015,
FUTIDX,S&P500,18-Dec-2015,0,XX,0,0,0,2079.75,2094.75,0,0,250,0,10-NOV-2015,
FUTIDX,S&P500,15-Jan-2016,0,XX,0,0,0,2060,2106.5,0,0,0,0,10-NOV-2015,
FUTIDX,S&P500,18-Mar-2016,0,XX,0,0,0,2275.75,2133.5,0,0,0,0,10-NOV-2015,
FUTIDX,S&P500,17-Jun-2016,0,XX,0,0,0,2299,2172.75,0,0,0,0,10-NOV-2015,
FUTIDX,S&P500,16-Sep-2016,0,XX,0,0,0,2150.5,2213,0,0,0,0,10-NOV-2015,
FUTIVX,INDIAVIX,10-Nov-2015,0,XX,1601,1601,1601,1601,1682.5,1,7.2,900,450,10-NOV-2015,
FUTIVX,INDIAVIX,17-Nov-2015,0,XX,0,0,0,1694.25,1705.75,0,0,0,0,10-NOV-2015,
FUTIVX,INDIAVIX,24-Nov-2015,0,XX,0,0,0,1946.75,1713.25,0,0,0,0,10-NOV-2015,
FUTSTK,ABIRLANUVO,26-Nov-2015,0,XX,2000,2014.3,1955,1958.3,1958.3,986,4873.06,748000,22250,10-NOV-2015,
FUTSTK,ABIRLANUVO,31-Dec-2015,0,XX,1982,1987.3,1982,1970.2,1970.2,8,39.63,10750,1250,10-NOV-2015,
FUTSTK,ABIRLANUVO,28-Jan-2016,0,XX,0,0,0,2019.05,1981.4,0,0,250,0,10-NOV-2015,
FUTSTK,ACC,26-Nov-2015,0,XX,1360.05,1362.5,1316.8,1321.65,1321.65,1600,8036,1264875,49125,10-NOV-2015,
