INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Nov-2015,0,XX,17050,17240,16981,17167.2,17167.2,96993,498547.29,2399970,30840,06-NOV-2015,
FUTIDX,BANKNIFTY,31-Dec-2015,0,XX,17138.25,17330,17100,17274.8,17274.8,2616,13518.36,68310,5460,06-NOV-2015,
FUTIDX,BANKNIFTY,28-Jan-2016,0,XX,17213.15,17416.55,17213.15,17354.45,17354.45,172,893.25,5340,480,06-NOV-2015,
FUTIDX,CNXINFRA,26-Nov-2015,0,XX,0,0,0,3019.6,2786.75,0,0,0,0,06-NOV-2015,
FUTIDX,CNXINFRA,31-Dec-2015,0,XX,0,0,0,2832.6,2806.8,0,0,0,0,06-NOV-2015,
FUTIDX,CNXINFRA,28-Jan-2016,0,XX,0,0,0,2934.6,2822.65,0,0,0,0,06-NOV-2015,
FUTIDX,CNXIT,26-Nov-2015,0,XX,11498.95,11531.3,11460,11512.5,11512.5,114,589.72,10845,-675,06-NOV-2015,
FUTIDX,CNXIT,31-Dec-2015,0,XX,0,0,0,12196.45,11613.4,0,0,0,0,06-NOV-2015,
FUTIDX,CNXIT,28-Jan-2016,0,XX,0,0,0,11762.3,11679.05,0,0,0,0,06-NOV-2015,
FUTIDX,CNXPSE,26-Nov-2015,0,XX,0,0,0,3158.15,3102.9,0,0,0,0,06-NOV-2015,
FUTIDX,CNXPSE,31-Dec-2015,0,XX,0,0,0,3039.2,3125.2,0,0,0,0,06-NOV-2015,
FUTIDX,CNXPSE,28-Jan-2016,0,XX,0,0,0,3114.1,3142.85,0,0,0,0,06-NOV-2015,
FUTIDX,DJIA,20-Nov-2015,0,XX,17827.5,17827.5,17792.5,17815,17815,83,443.53,24210,390,06-NOV-2015,
FUTIDX,DJIA,18-Dec-2015,0,XX,17790,17790,17787.5,17790,17790,4,21.34,870,-60,06-NOV-2015,
FUTIDX,DJIA,15-Jan-2016,0,XX,0,0,0,17447.5,18117.5,0,0,0,0,06-NOV-2015,
FUTIDX,DJIA,18-Mar-2016,0,XX,0,0,0,16072.5,18350,0,0,30,0,06-NOV-2015,
FUTIDX,DJIA,17-Jun-2016,0,XX,0,0,0,16385,18690,0,0,30,0,06-NOV-2015,
FUTIDX,DJIA,16-Sep-2016,0,XX,0,0,0,16702.5,19035,0,0,30,0,06-NOV-2015,
FUTIDX,FTSE100,20-Nov-2015,0,XX,0,0,0,6300,6383,0,0,75,0,06-NOV-2015,
FUTIDX,FTSE100,18-Dec-2015,0,XX,0,0,0,7042,6419,0,0,0,0,06-NOV-2015,
FUTIDX,FTSE100,15-Jan-2016,0,XX,0,0,0,6386,6456,0,0,0,0,06-NOV-2015,
FUTIDX,FTSE100,18-Mar-2016,0,XX,0,0,0,7571,6538,0,0,0,0,06-NOV-2015,
FUTIDX,FTSE100,17-Jun-2016,0,XX,0,0,0,7242,6659,0,0,0,0,06-NOV-2015,
